Utilization Type,State,NDC,Labeler Code,Product Code,Package Size,Year,Quarter,Suppression Used,Product Name,Units Reimbursed,Number of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non Medicaid Amount Reimbursed
FFSU,AK,2143380,2,1433,80,2022,4,False,TRULICITY ,473.0,198.0,201743.95,195095.41,6648.54
FFSU,AK,2143401,2,1434,1,2022,4,True,TRULICITY ,,,,,
FFSU,AK,2143480,2,1434,80,2022,4,False,TRULICITY ,646.0,231.0,275657.31,267347.63,8309.68
FFSU,AK,2143611,2,1436,11,2022,4,False,EMGALITY P,26.0,25.0,16642.78,16642.78,0.0
FFSU,AK,2144511,2,1445,11,2022,4,False,TALTZ AUTO,26.0,23.0,164678.63,164678.63,0.0
FFSU,AK,2144527,2,1445,27,2022,4,True,TALTZ AUTO,,,,,
FFSU,AK,2145780,2,1457,80,2022,4,True,MOUNJARO  ,,,,,
FFSU,AK,2146080,2,1460,80,2022,4,True,MOUNJARO  ,,,,,
FFSU,AK,2147180,2,1471,80,2022,4,False,MOUNJARO  ,26.0,12.0,12214.55,10397.54,1817.01
FFSU,AK,2148480,2,1484,80,2022,4,True,MOUNJARO  ,,,,,
FFSU,AK,2149580,2,1495,80,2022,4,False,MOUNJARO  ,76.0,37.0,35377.69,32060.86,3316.83
FFSU,AK,2150680,2,1506,80,2022,4,False,MOUNJARO  ,34.0,17.0,15728.86,14800.58,928.28
FFSU,AK,2223680,2,2236,80,2022,4,False,TRULICITY ,278.5,125.0,117517.01,116749.1,767.91
FFSU,AK,2237711,2,2377,11,2022,4,True,EMGALITY S,,,,,
FFSU,AK,2311509,2,3115,9,2022,4,True,EMGALITY S,,,,,
FFSU,AK,2318280,2,3182,80,2022,4,False,TRULICITY ,120.0,45.0,51564.37,49853.71,1710.66
FFSU,AK,2322830,2,3228,30,2022,4,True,STRATTERA ,,,,,
FFSU,AK,2322930,2,3229,30,2022,4,True,STRATTERA ,,,,,
FFSU,AK,2324030,2,3240,30,2022,4,True,CYMBALTA  ,,,,,
FFSU,AK,2327030,2,3270,30,2022,4,True,CYMBALTA  ,,,,,
FFSU,AK,2418230,2,4182,30,2022,4,True,OLUMIANT  ,,,,,
FFSU,AK,2445685,2,4456,85,2022,4,True,ZYPREXA ZY,,,,,
FFSU,AK,2449108,2,4491,8,2022,4,True,REYVOW    ,,,,,
FFSU,AK,2481554,2,4815,54,2022,4,True,VERZENIO  ,,,,,
FFSU,AK,2533754,2,5337,54,2022,4,False,VERZENIO  ,728.0,13.0,178648.58,178648.58,0.0
FFSU,AK,2614511,2,6145,11,2022,4,False,BAQSIMI   ,43.0,25.0,11563.08,11563.08,0.0
FFSU,AK,2614527,2,6145,27,2022,4,False,BAQSIMI   ,88.0,37.0,23393.33,22900.71,492.62
FFSU,AK,2751001,2,7510,1,2022,4,False,HUMALOG   ,1900.0,60.0,51487.52,48905.38,2582.14
FFSU,AK,2751017,2,7510,17,2022,4,True,HUMALOG   ,,,,,
FFSU,AK,2751659,2,7516,59,2022,4,False,HUMALOG   ,273.0,15.0,8992.83,8992.83,0.0
FFSU,AK,2752901,2,7529,1,2022,4,True,GLUCAGON E,,,,,
FFSU,AK,2759701,2,7597,1,2022,4,True,ZYPREXA   ,,,,,
FFSU,AK,2762301,2,7623,1,2022,4,True,ALIMTA    ,,,,,
FFSU,AK,2764001,2,7640,1,2022,4,True,ALIMTA    ,,,,,
FFSU,AK,2766901,2,7669,1,2022,4,True,CYRAMZA   ,,,,,
FFSU,AK,2767801,2,7678,1,2022,4,True,CYRAMZA   ,,,,,
FFSU,AK,2771227,2,7712,27,2022,4,False,HUMALOG KW,904.0,53.0,61800.52,61800.52,0.0
FFSU,AK,2771459,2,7714,59,2022,4,False,HUMALOG JU,240.0,14.0,8278.96,8278.96,0.0
FFSU,AK,2771559,2,7715,59,2022,4,False,BASAGLAR K,867.0,62.0,18566.12,17801.26,764.86
FFSU,AK,2772411,2,7724,11,2022,4,True,TALTZ SYRI,,,,,
FFSU,AK,2772801,2,7728,1,2022,4,True,LYUMJEV   ,,,,,
FFSU,AK,2773701,2,7737,1,2022,4,False,INSULIN LI,5550.0,181.0,45453.35,44906.51,546.84
FFSU,AK,2775205,2,7752,5,2022,4,False,INSULIN LI,462.0,25.0,4946.62,4946.62,0.0
FFSU,AK,2791001,2,7910,1,2022,4,True,BAMLANIVIM,,,,,
FFSU,AK,2795001,2,7950,1,2022,4,True,ETESEVIMAB,,,,,
FFSU,AK,2803101,2,8031,1,2022,4,False,GLUCAGON E,25.0,16.0,5711.58,5711.58,0.0
FFSU,AK,2814801,2,8148,1,2022,4,True,HUMATROPE ,,,,,
FFSU,AK,2821501,2,8215,1,2022,4,False,HUMULIN R ,540.0,17.0,7790.28,7790.28,0.0
FFSU,AK,2821517,2,8215,17,2022,4,True,HUMULIN R ,,,,,
FFSU,AK,2822259,2,8222,59,2022,4,False,INSULIN LI,6945.0,331.0,73259.0,73259.0,0.0
FFSU,AK,2822827,2,8228,27,2022,4,True,LYUMJEV KW,,,,,
FFSU,AK,2823305,2,8233,5,2022,4,True,INSULIN LI,,,,,
FFSU,AK,2831501,2,8315,1,2022,4,True,HUMULIN N ,,,,,
FFSU,AK,2840001,2,8400,1,2022,4,True,FORTEO    ,,,,,
FFSU,AK,2850101,2,8501,1,2022,4,True,HUMULIN R ,,,,,
FFSU,AK,2871501,2,8715,1,2022,4,True,HUMULIN 70,,,,,
FFSU,AK,2879759,2,8797,59,2022,4,True,HUMALOG MI,,,,,
FFSU,AK,2879859,2,8798,59,2022,4,True,HUMALOG MI,,,,,
FFSU,AK,2879901,2,8799,1,2022,4,True,HUMALOG KW,,,,,
FFSU,AK,2879959,2,8799,59,2022,4,False,HUMALOG KW,1707.0,111.0,59306.98,58475.02,831.96
FFSU,AK,2880359,2,8803,59,2022,4,False,HUMULIN 70,198.0,11.0,5913.05,5913.05,0.0
FFSU,AK,2880559,2,8805,59,2022,4,False,HUMULIN N ,783.0,44.0,22709.71,22245.08,464.63
FFSU,AK,2882427,2,8824,27,2022,4,True,HUMULIN R ,,,,,
FFSU,AK,3029305,3,293,5,2022,4,False,KENALOG-40,270.12,260.0,0.01,0.01,0.0
FFSU,AK,3029320,3,293,20,2022,4,True,KENALOG-40,,,,,
FFSU,AK,3029328,3,293,28,2022,4,False,KENALOG-40,250.0,160.0,1665.84,1536.9,128.94
FFSU,AK,3037113,3,371,13,2022,4,True,NULOJIX   ,,,,,
FFSU,AK,3049420,3,494,20,2022,4,False,KENALOG-10,91.6,43.0,218.97,203.52,15.45
FFSU,AK,3052411,3,524,11,2022,4,True,SPRYCEL   ,,,,,
FFSU,AK,3085222,3,852,22,2022,4,True,SPRYCEL   ,,,,,
FFSU,AK,3085522,3,855,22,2022,4,True,SPRYCEL   ,,,,,
FFSU,AK,3085722,3,857,22,2022,4,True,SPRYCEL   ,,,,,
FFSU,AK,3089321,3,893,21,2022,4,False,ELIQUIS   ,6906.0,115.0,59268.03,59268.03,0.0
FFSU,AK,3089421,3,894,21,2022,4,False,ELIQUIS   ,73232.0,1071.0,611776.97,604635.04,7141.93
FFSU,AK,3089431,3,894,31,2022,4,False,ELIQUIS   ,979.0,29.0,8671.86,8671.86,0.0
FFSU,AK,3089470,3,894,70,2022,4,False,ELIQUIS   ,664.0,12.0,5353.23,5353.23,0.0
FFSU,AK,3218811,3,2188,11,2022,4,True,ORENCIA   ,,,,,
FFSU,AK,3218851,3,2188,51,2022,4,True,ORENCIA CL,,,,,
FFSU,AK,3232711,3,2327,11,2022,4,True,YERVOY    ,,,,,
FFSU,AK,3373413,3,3734,13,2022,4,False,OPDIVO    ,504.0,12.0,142553.83,131382.77,11171.06
FFSU,AK,3375614,3,3756,14,2022,4,True,OPDIVO    ,,,,,
FFSU,AK,3376474,3,3764,74,2022,4,True,ELIQUIS   ,,,,,
FFSU,AK,3377211,3,3772,11,2022,4,True,OPDIVO    ,,,,,
FFSU,AK,3377412,3,3774,12,2022,4,True,OPDIVO    ,,,,,
FFSU,AK,3712511,3,7125,11,2022,4,True,OPDUALAG  ,,,,,
FFSU,AK,4080085,4,800,85,2022,4,False,TAMIFLU   ,1806.0,181.0,5965.55,5965.55,0.0
FFSU,AK,4080185,4,801,85,2022,4,True,TAMIFLU   ,,,,,
FFSU,AK,4080285,4,802,85,2022,4,True,TAMIFLU   ,,,,,
FFSU,AK,4082205,4,822,5,2022,4,False,TAMIFLU   ,7680.0,74.0,5041.41,5041.41,0.0
FFSU,AK,6003330,6,33,30,2022,4,False,BELSOMRA  ,430.0,15.0,5630.14,5630.14,0.0
FFSU,AK,6007861,6,78,61,2022,4,True,JANUMET XR,,,,,
FFSU,AK,6008061,6,80,61,2022,4,False,JANUMET XR,3046.0,44.0,24838.75,23431.98,1406.77
FFSU,AK,6008062,6,80,62,2022,4,True,JANUMET XR,,,,,
FFSU,AK,6008131,6,81,31,2022,4,False,JANUMET XR,750.0,19.0,12573.43,11751.67,821.76
FFSU,AK,6011231,6,112,31,2022,4,False,JANUVIA   ,1889.0,43.0,31948.69,31948.69,0.0
FFSU,AK,6011254,6,112,54,2022,4,True,JANUVIA   ,,,,,
FFSU,AK,6022128,6,221,28,2022,4,False,JANUVIA   ,197.0,11.0,3465.11,3465.11,0.0
FFSU,AK,6022131,6,221,31,2022,4,False,JANUVIA   ,651.0,26.0,11186.46,11186.46,0.0
FFSU,AK,6022154,6,221,54,2022,4,True,JANUVIA   ,,,,,
FFSU,AK,6022761,6,227,61,2022,4,True,ISENTRESS ,,,,,
FFSU,AL,2143301,2,1433,1,2022,4,True,TRULICITY ,,,,,
FFSU,AL,2143380,2,1433,80,2022,4,False,TRULICITY ,6622.5,3317.0,2888882.89,2814683.56,74199.33
FFSU,AL,2143401,2,1434,1,2022,4,False,TRULICITY ,16.0,11.0,6949.9,6949.9,0.0
FFSU,AL,2143480,2,1434,80,2022,4,False,TRULICITY ,7582.5,3797.0,3303285.34,3227625.66,75659.68
FFSU,AL,2143611,2,1436,11,2022,4,False,EMGALITY  ,149.0,147.0,96521.9,95317.32,1204.58
FFSU,AL,2144509,2,1445,9,2022,4,True,TALTZ     ,,,,,
FFSU,AL,2144511,2,1445,11,2022,4,False,TALTZ     ,126.0,115.0,780353.42,780353.42,0.0
FFSU,AL,2144527,2,1445,27,2022,4,True,TALTZ     ,,,,,
FFSU,AL,2146080,2,1460,80,2022,4,True,MOUNJARO 1,,,,,
FFSU,AL,2147180,2,1471,80,2022,4,False,MOUNJARO 1,34.0,17.0,17915.51,16034.13,1881.38
FFSU,AL,2148480,2,1484,80,2022,4,False,MOUNJARO 7,34.0,17.0,16994.37,16055.07,939.3
FFSU,AL,2149580,2,1495,80,2022,4,False,MOUNJARO 5,272.5,139.0,132024.06,126167.25,5856.81
FFSU,AL,2150680,2,1506,80,2022,4,False,MOUNJARO 2,439.0,220.0,208112.54,206455.53,1657.01
FFSU,AL,2223601,2,2236,1,2022,4,False,TRULICITY ,38.0,19.0,17259.92,16401.97,857.95
FFSU,AL,2223680,2,2236,80,2022,4,False,TRULICITY ,3081.5,1545.0,1386614.79,1308841.14,77773.65
FFSU,AL,2237711,2,2377,11,2022,4,True,EMGALITY  ,,,,,
FFSU,AL,2298026,2,2980,26,2022,4,True,RETEVMO   ,,,,,
FFSU,AL,2311509,2,3115,9,2022,4,True,EMGALITY  ,,,,,
FFSU,AL,2318201,2,3182,1,2022,4,True,TRULICITY ,,,,,
FFSU,AL,2318280,2,3182,80,2022,4,False,TRULICITY ,1536.0,768.0,703203.64,651951.25,51252.39
FFSU,AL,2322830,2,3228,30,2022,4,True,STRATTERA ,,,,,
FFSU,AL,2322930,2,3229,30,2022,4,True,STRATTERA ,,,,,
FFSU,AL,2325130,2,3251,30,2022,4,True,STRATTERA ,,,,,
FFSU,AL,2327030,2,3270,30,2022,4,True,CYMBALTA  ,,,,,
FFSU,AL,2411730,2,4117,30,2022,4,True,ZYPREXA   ,,,,,
FFSU,AL,2418230,2,4182,30,2022,4,True,OLUMIANT  ,,,,,
FFSU,AL,2431208,2,4312,8,2022,4,True,REYVOW    ,,,,,
FFSU,AL,2448354,2,4483,54,2022,4,True,VERZENIO  ,,,,,
FFSU,AL,2449108,2,4491,8,2022,4,False,REYVOW    ,96.0,13.0,8351.12,8351.12,0.0
FFSU,AL,2481554,2,4815,54,2022,4,False,VERZENIO  ,1008.0,18.0,238240.8,238240.8,0.0
FFSU,AL,2533754,2,5337,54,2022,4,False,VERZENIO  ,3192.0,58.0,741884.44,741884.44,0.0
FFSU,AL,2614511,2,6145,11,2022,4,False,BAQSIMI   ,180.0,99.0,54045.72,47627.99,6417.73
FFSU,AL,2614527,2,6145,27,2022,4,False,BAQSIMI   ,592.0,284.0,169613.06,153369.17,16243.89
FFSU,AL,2751001,2,7510,1,2022,4,False,HUMALOG   ,1766.0,103.0,45140.74,33681.41,11459.33
